product,image_name,source_reference,sha256,dataset_label,image_latitude,image_longitude,image_timestamp,cyclone_id,cyclone_name,ibtracs_timestamp,ibtracs_latitude,ibtracs_longitude,ibtracs_wind_knots,ibtracs_pressure_hpa,match_distance_deg,match_method,match_confidence,notes
reference,38.jpeg,38.jpeg,6712a1d7d6de46e1bc15b794dfd8b36cf02c3a40742d9561df35cb1439e3bd28,38.0,14.33,89.54,,2018314N12093,GAJA,2018-11-11 00:00:00,13.35,89.2,35.0,999.0,1.0339,embedded coordinates + year/nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,39.jpeg,39.jpeg,42b709f3072a950b429d4c8c569a2f021f228b07bc4b73406b5b44de9749350d,39.0,14.93,89.54,2019-11-07 03:00:00,2019302N11118,BULBUL:MATMO,2019-11-07 03:00:00,14.7537,89.1175,35.0,998.0,0.4447,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,40(1).jpeg,40(1).jpeg,c6243fa45ebd41a8776766425b1f9d2e1b166982f60c27f63073d91c8d0156da,40.0,16.7,88.32,2016-10-26 00:00:00,2016295N13089,KYANT,2016-10-26 03:00:00,16.3389,88.4539,40.0,996.0,0.3832,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,40(2).jpeg,40(2).jpeg,4c6454af3f04b34645a11f5f36955aa3596d225a6641105e3833a13f090d5a6c,40.0,19.55,65.55,2019-09-23 05:30:00,2019264N19071,HIKAA:HIKKA,2019-09-23 03:00:00,20.2924,65.5038,40.0,996.0,0.7437,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,40(3).jpeg,40(3).jpeg,a699ba6620ee57291a176d3e2d7e894c3cc90405030e3fcd498ce5450a123549,40.0,15.3,90.0,2021-05-23 03:30:00,2021143N15090,YAAS,2021-05-23 03:00:00,15.44,89.8525,,,0.1996,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,40.jpeg,40.jpeg,2ff06bd2a0812cb91bfdf46a293863150511cdaffd92aec4d3a40a3329aa4a21,40.0,12.17,84.25,2013-05-13 03:30:00,2013130N04093,MAHASEN:VIYARU,2013-05-13 09:00:00,12.0388,85.9462,40.0,994.0,1.6633,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,41.jpeg,41.jpeg,22fdf425304a44d55538272b11c42afa38ac095cea61b78bb5f1dba014583468,41.0,12.49,84.93,2013-05-13 02:30:00,2013130N04093,MAHASEN:VIYARU,2013-05-13 06:00:00,11.95,86.35,40.0,994.0,1.4878,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,42(3).jpeg,42(3).jpeg,95246fe33fa6a64d94729e661985636ea8229ffaaa003b6cf93635533a498ec4,42.0,16.5,84.7,2021-12-04 06:00:00,2021335N08096,JAWAD,2021-12-04 06:00:00,16.35,84.85,35.0,1001.0,0.2078,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,42.jpeg,42.jpeg,b4792633c7d846074352759b391c4b137abc53369cabd40e708f23ea77ea2ccc,42.0,7.25,77.51,,2017333N06082,OCKHI,2017-11-30 03:00:00,7.50758,77.3713,35.0,999.0,0.292,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,43(2).jpeg,43(2).jpeg,e48a571e66aeb6334db12a1723c3019ad1090690119d58fbb2d586bf1b827dc8,43.0,24.23,58.95,,2021267N18094,GULAB:SHAHEEN-GU,2021-10-03 03:00:00,24.1461,59.0788,60.0,984.0,0.1443,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,43.jpeg,43.jpeg,fd25b756cbaa58b717c79be4b0367bfb54221c4254f43ec4a863879440895533,43.0,12.57,85.24,,2013130N04093,MAHASEN:VIYARU,2013-05-13 18:00:00,12.8,85.45,40.0,994.0,0.3081,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,44(1).jpeg,44(1).jpeg,21f69d8ec90b921eae03bd2a187464ae63dac3d851af594ec712dce6d8b6225d,44.0,18.47,65.73,,2014159N12068,NANAUK,2014-06-12 00:00:00,17.9,65.25,45.0,986.0,0.7295,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,44(2).jpeg,44(2).jpeg,0329d87ffe37c4a8b9f0388535e42d44f94deeab01c72467cef1bbda443cfb6a,44.0,13.41,86.68,2018-11-13 02:30:00,2018314N12093,GAJA,2018-11-13 06:00:00,13.65,86.55,40.0,998.0,0.2713,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,44(3).jpeg,44(3).jpeg,fdd05971b8d372cb4e8bc15d4e224287fd3f0d532a3457ec1720123e8b57f7cc,44.0,9.51,82.1,2020-11-24 05:30:00,2020327N08086,NIVAR,2020-11-24 09:00:00,9.86,82.85,45.0,992.0,0.8183,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,44.jpeg,44.jpeg,80b69fc0562f0d5359d8024f70e3a156cb1b45efdfef28a21fdce60273c7ef65,44.0,12.7,90.94,2016-12-09 02:00:00,2016341N08092,VARDAH,2016-12-09 06:00:00,11.95,90.45,45.0,996.0,0.8894,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,45(1).jpeg,45(1).jpeg,b00c74c43430cce2949a6d4566e894e92ef51dc46be1ea68a66394840fa525f9,45.0,8.3,84.07,2016-11-30 04:00:00,2016335N07088,NADA,2016-11-30 06:00:00,9.05,84.85,35.0,1002.0,1.0762,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,45(2).jpeg,45(2).jpeg,253208f3c12db34c7aa125fc3c0d0c13306cdac70b720b4ef85c0a4f826e9a3c,45.0,14.79,80.92,2016-05-19 03:45:00,2016138N10081,ROANU,2016-05-19 00:00:00,15.1,81.6,35.0,990.0,0.7269,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,45(3).jpeg,45(3).jpeg,0770f9c8dd6826342912e414f99534e85903d83b1cebd09105733ffc775c33b6,45.0,20.16,59.89,2019-09-24 04:00:00,2019264N19071,HIKAA:HIKKA,2019-09-24 06:00:00,20.0,59.55,75.0,978.0,0.357,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,45(4).jpeg,45(4).jpeg,1b66ac18546d3777dc4add83c9b08f0fd74a049b183e8541ea0e64353d9dbc87,45.0,15.21,71.28,2020-06-02 04:00:00,2020153N13072,NISARGA,2020-06-02 03:00:00,15.325,71.25,30.0,1000.0,0.1186,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,45.jpeg,45.jpeg,f59dfa843b9b7a9204f4055cca567f21a15c1afcf37084fa984f96be6644e2c2,45.0,14.37,84.69,,2013339N09084,MADI,2013-12-09 06:00:00,14.3,84.7,65.0,986.0,0.0707,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,46(1).jpeg,46(1).jpeg,83036a3c94f6f4831e43c79c5881877fcad0433043b9c81ddae8a4b28ee29c0b,46.0,12.22,86.9,2018-11-12 04:00:00,2018314N12093,GAJA,2018-11-12 06:00:00,12.6,87.25,40.0,998.0,0.5113,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,46(3).jpeg,46(3).jpeg,c3424f52f38502608b02dcc79703e966f61c41cdbbc7682ae5f941f70d510fa4,46.0,15.95,85.75,2021-12-03 09:00:00,2021335N08096,JAWAD,2021-12-03 15:00:00,15.21,85.0425,40.0,1000.0,1.0052,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,46.jpeg,46.jpeg,7c4be00a91357b2afb643a81db786b45dd088b1339ca8256f35ef35d605a128a,46.0,17.51,64.27,2014-06-12 08:45:00,2014159N12068,NANAUK,2014-06-12 06:00:00,18.15,64.65,45.0,986.0,0.7355,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,47(1).jpeg,47(1).jpeg,5a8e0f2c4b4b895692cb8bdea1cff7f1cd30c14c284787f66d72467827a4a686,47.0,16.7,90.6,2016-10-25 07:00:00,2016295N13089,KYANT,2016-10-25 12:00:00,16.75,90.55,35.0,998.0,0.0692,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,47(2).jpeg,47(2).jpeg,62f86a003f2d28ca0bd77e61534fd20e5e8809391f820a5db926c4d2affbe1a9,47.0,11.89,61.89,2018-10-08 06:00:00,2018279N11069,LUBAN,2018-10-08 06:00:00,12.15,61.85,40.0,997.0,0.2629,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,47(3).jpeg,47(3).jpeg,f6cd0fc37f1e9d3feab9cdd7353b424582f481127fc43b1ae7a83558808e53e8,47.0,7.64,57.71,2019-12-04 04:00:00,2019335N05058,PAWAN,2019-12-04 06:00:00,7.5,57.1,30.0,1000.0,0.6206,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,47(4).jpeg,47(4).jpeg,0d62b4c44de030529f9684fbe143a4a177590e135d3a023eeb986cff3c5262ad,47.0,8.4,82.7,2020-12-02 02:30:00,2020335N06090,BUREVI,2020-12-02 03:00:00,8.58247,82.9,40.0,998.0,0.2691,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,47.jpeg,47.jpeg,27f37fcf36a34571c94466c3e111647adebbfcb19c93e025822f1b773463c6e3,47.0,17.16,85.74,2013-05-15 03:00:00,2013130N04093,MAHASEN:VIYARU,2013-05-15 03:00:00,16.7462,87.1889,40.0,992.0,1.4449,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,48(1).jpeg,48(1).jpeg,ae1c16af5bad7dc3979e106a3135d68ddd102719965253f2f081fe34374082b2,48.0,10.2,56.6,,2018136N11054,MEKUNU:SAGAR,2018-05-22 12:00:00,10.2,56.8,35.0,998.0,0.1968,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,48(2).jpeg,48(2).jpeg,deed2f4d2547a2f1097f17c176a58bc7fc53e20cbc68045c3f825c4cd2a945ec,48.0,15.68,82.11,2018-12-17 03:30:00,2018347N07089,PHETHAI,2018-12-17 03:00:00,15.5388,82.3388,45.0,997.0,0.2617,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,48(3).jpeg,48(3).jpeg,eefed2ae4a661eaadcb39fda43d11e714b828c5517dd5de0a4e3d65ed134c9e2,48.0,15.95,85.75,2021-12-03 09:00:00,2021335N08096,JAWAD,2021-12-03 15:00:00,15.21,85.0425,40.0,1000.0,1.0052,embedded timestamp (<=6h) + nearest IBTrACS position,MEDIUM,visual/manual read from embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,48.jpeg,48.jpeg,14186ba969f02e384b1cc7705da15b215131e82d264ad8232445e78cf2a8147f,48.0,17.57,70.87,2017-12-05 03:30:00,2017333N06082,OCKHI,2017-12-05 00:00:00,17.5,70.65,50.0,994.0,0.2211,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,49(1).jpeg,49(1).jpeg,999b91e216ebaca8f6e9cff23eebf18bfb03d135c0c15b188b4440cd4e97fe76,49.0,14.58,71.21,2019-06-01 03:30:00,2019301N05081,MAHA,2019-11-01 00:00:00,14.6,71.55,55.0,990.0,0.3297,embedded coordinates + year/nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,49(2).jpeg,49(2).jpeg,e564c2cda97d828323dd1778723601fd46dd45f3d5989eb00c3d499d46d8631c,49.0,22.8,64.75,2021-10-01 03:00:00,2021267N18094,GULAB:SHAHEEN-GU,2021-10-01 03:00:00,23.1175,64.9213,40.0,994.0,0.3546,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,49.jpeg,49.jpeg,faf05bbdb275ccc5b0741e38a99014e044ec74139b687fa1ce982523fcea6d57,49.0,12.37,88.3,2016-12-10 02:00:00,2016341N08092,VARDAH,2016-12-10 00:00:00,12.6,88.25,55.0,990.0,0.2351,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,50(1).jpeg,50(1).jpeg,4950e24208727cfdf2c1481dce3441f75dea9b023853ad539fc953ad910d7e77,50.0,14.62,70.83,2019-11-01 03:30:00,2019301N05081,MAHA,2019-11-01 03:00:00,14.8326,70.9063,55.0,990.0,0.2251,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,50(2).jpeg,50(2).jpeg,fe90a62ae45fc6c2d18a4af54dd1f0fea27399906ab6da7ecc109efb45f5fb09,50.0,23.23,64.35,2021-10-01 07:00:00,2021267N18094,GULAB:SHAHEEN-GU,2021-10-01 09:00:00,23.3287,64.2037,45.0,991.0,0.1668,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
reference,50.jpeg,50.jpeg,5c755a21ea04f1113f0d759f0fc02bd4bce9c92f1be0b4c076410a58f0bdda73,50.0,11.85,91.45,2013-11-25 09:30:00,2013324N07103,LEHAR,2013-11-25 09:00:00,12.0,91.725,60.0,988.0,0.3081,embedded timestamp (<=6h) + nearest IBTrACS position,HIGH,OCR of embedded annotation Dataset label copied from original CSV; not interpreted as wind speed.
